C:\FYP\Testing data\IMG\center_2023_03_23_09_28_00_380.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_00_380.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_00_380.jpg,0,0,0,3.561667E-06
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_00_448.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_00_448.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_00_448.jpg,0,0,0,4.093533E-06
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_00_514.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_00_514.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_00_514.jpg,0,0,0,4.259758E-06
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_00_584.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_00_584.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_00_584.jpg,0,0,0,4.39283E-06
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_00_653.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_00_653.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_00_653.jpg,0,0.0380223,0,0.008119711
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_00_720.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_00_720.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_00_720.jpg,-0.05,0.214815,0,0.1062305
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_00_790.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_00_790.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_00_790.jpg,-0.25,0.4624941,0,0.4624225
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_00_859.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_00_859.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_00_859.jpg,-0.4,0.6336601,0,0.8466621
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_00_931.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_00_931.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_00_931.jpg,0,0.8842151,0,1.582667
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_001.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_001.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_001.jpg,0,1,0,2.257784
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_068.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_068.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_068.jpg,-0.05,1,0,3.188103
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_135.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_135.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_135.jpg,-0.2,1,0,3.889177
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_203.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_203.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_203.jpg,-0.35,1,0,4.579886
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_274.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_274.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_274.jpg,-0.5500001,1,0,5.479218
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_344.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_344.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_344.jpg,0,1,0,6.127432
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_414.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_414.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_414.jpg,0,1,0,7.037806
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_482.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_482.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_482.jpg,0,1,0,7.720801
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_551.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_551.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_551.jpg,0,1,0,8.625341
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_622.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_622.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_622.jpg,0,1,0,9.299143
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_691.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_691.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_691.jpg,-0.15,1,0,10.18562
C:\FYP\Testing data\IMG\center_2023_03_23_09_28_01_758.jpg,C:\FYP\Testing data\IMG\left_2023_03_23_09_28_01_758.jpg,C:\FYP\Testing data\IMG\right_2023_03_23_09_28_01_758.jpg,-0.3,1,0,10.82782
